-DOCSTART- -X- -X- O
Plan NN X O
and CC X O
prioritise VB X O
own JJ X O
work NN X O
and CC X O
that IN X O
of IN X O
more JJR X O
junior JJ X O
staff NN X O
so IN X O
that DT X O
deadlines NNS X O
are VBP X O
met VBN X O
. . X O

Swim NNP X O
Social NNP X O
Work NNP X O
are VBP X O
looking VBG X O
for IN X O
a DT X O
qualified JJ X O
social JJ X B-Occupation
worker NN X I-Occupation
to TO X O
join VB X O
the DT X O
children NNS X O
with IN X O
additional JJ X O
needs NNS X O
team NN X O
based VBN X O
in IN X O
Dartington NNP X O
, , X O
Devon NNP X O
. . X O

They PRP X O
have VBP X O
designed VBN X O
and CC X O
developed VBD X O
an DT X O
integrated VBN X B-Skill
needs NNS X I-Skill
and CC X I-Skill
risk NN X I-Skill
system NN X I-Skill
for IN X O
physical JJ X B-Domain
commodities NNS X I-Domain
trading VBG X I-Domain
that IN X O
their PRP$ X O
clients NNS X O
use VBP X O
directly RB X O
and CC X O
indirectly RB X O
on IN X O
a DT X O
daily JJ X O
basis NN X O
. . X O

We PRP X O
have VBP X O
vacancies NNS X O
for IN X O
Asbestos NNP X B-Occupation
Surveyors NNP X I-Occupation
, , X O
Lead NNP X B-Occupation
Asbestos NNP X I-Occupation
Surveyors NNP X I-Occupation
, , X O
Asbestos NNP X B-Occupation
Analysts NNS X I-Occupation
, , X O
Asbestos NNP X B-Occupation
Project NNP X I-Occupation
Managers NNP X I-Occupation
, , X O
Consultants NNP X B-Occupation
, , X O
Asbestos NNP X B-Occupation
Administrators NNPS X I-Occupation
, , X O
Asbestos NNP X B-Occupation
Laboratory NNP X I-Occupation
Technicians NNP X I-Occupation
, , X O
Asbestos NNP X B-Occupation
Project NNP X I-Occupation
Managers NNP X I-Occupation
/ NNP X O
Technical NNP X B-Occupation
/ NNP X O
Quality NNP X B-Occupation
Managers NNP X I-Occupation
/ VBD X O
Training NNP X B-Occupation
through IN X I-Occupation
to TO X I-Occupation
Sales NNS X I-Occupation
/ VB X O
Senior NNP X B-Occupation
Management NNP X I-Occupation
and CC X I-Occupation
Director NNP X I-Occupation
level NN X O
Salaries NNS X O
ranging VBG X O

A DT X O
sound NN X O
understanding NN X O
of IN X O
the DT X O
Care NNP X B-Skill
Standards NNPS X I-Skill
together RB X O
with IN X O
a DT X O
Nursing NN X B-Qualification
qualification NN X I-Qualification
and CC X O
current JJ X O
NMC NNP X B-Qualification
registration NN X I-Qualification
are VBP X O
essential JJ X O
for IN X O
this DT X O
role NN X O
. . X O

Produce NNP X B-Skill
monthly JJ X I-Skill
OHS NNP X I-Skill
reports NNS X I-Skill
and CC X O
submit NN X B-Skill
to TO X I-Skill
Group NNP X I-Skill
OHS NNP X I-Skill
Manager NNP X I-Skill
or CC X I-Skill
her PRP$ X I-Skill
Deputy JJ X I-Skill
Produce NNP X I-Skill
site NN X I-Skill
based VBN X I-Skill
Accident NNP X I-Skill
Statistics NNPS X I-Skill

This DT X O
is VBZ X O
also RB X O
an DT X O
international JJ X O
operation NN X O
, , X O
producing VBG X B-Skill
coins NNS X I-Skill
and CC X I-Skill
blanks NNS X I-Skill
for IN X O
over IN X O
60 CD X O
countries NNS X O
worldwide RB X O
, , X O
making VBG X O
us PRP X O
the DT X O
world NN X O
s NN X O
leading VBG X O
export NN X O
mint NN X O
. . X O

The DT X O
main JJ X O
requirement NN X O
is VBZ X O
the DT X O
ability NN X O
to TO X O
motivate VB X B-Skill
your PRP$ X I-Skill
retail JJ X I-Skill
store NN X I-Skill
team NN X I-Skill
. . X O

It PRP X O
is VBZ X O
richly JJ X O
diverse JJ X O
ethnically RB X O
but CC X O
cohesive JJ X O
and CC X O
is VBZ X O
lead VBN X O
by IN X O
a DT X O
fantastic JJ X O
Headteacher NNP X B-Occupation
. . X O

A DT X O
growing VBG X O
business NN X O
where WRB X O
as IN X O
Assistant NNP X B-Occupation
Manager NNP X I-Occupation
you PRP X O
will MD X O
have VB X O
the DT X O
opportunity NN X O
to TO X O
be VB X O
a DT X O
key JJ X O
member NN X O
of IN X O
their PRP$ X O
team NN X O
and CC X O
contribute NN X O
to TO X O
their PRP$ X O
ongoing JJ X O
success NN X O
. . X O

An DT X O
individual NN X O
who WP X O
is VBZ X O
able JJ X O
to TO X O
play VB X B-Skill
a DT X I-Skill
vital JJ X I-Skill
role NN X I-Skill
in IN X I-Skill
further JJ X I-Skill
developing VBG X I-Skill
the DT X I-Skill
school NN X I-Skill
' POS X I-Skill
s NN X I-Skill
shared VBN X I-Skill
vision NN X I-Skill
and CC X O
use VB X O
this DT X O
opportunity NN X O
to TO X O
build VB X O
on IN X O
what WDT X O
will MD X O
already RB X O
have VB X O
been VBN X O
a DT X O
successful JJ X O
teaching NN X B-Domain
career NN X O
to TO X O
date NN X O

New NNP X O
2013 CD X O
Microsoft NNP X O
. . X O
NET NNP X B-Skill
, , X O
C NNP X B-Skill
, , X O
ASP NNP X B-Skill
. . X B-Occupation
Net NNP X I-Occupation
software NN X I-Occupation
engineer NN X I-Occupation
job NN X O
, , X O
Aberdeen NNP X O
. . X O

The DT X O
length NN X O
of IN X O
shifts NNS X O
will MD X O
vary VB X O
depending VBG X O
on IN X O
the DT X O
needs NNS X O
of IN X O
the DT X O
service NN X O
users NNS X O
that IN X O
you PRP X O
will MD X O
be VB X O
supporting VBG X O
and CC X O
will MD X O
include VB X O
working JJ X O
mornings NNS X O
, , X O
afternoons NNS X O
, , X O
evenings NNS X O
, , X O
weekends NNS X O
and CC X O
sleepins NNS X O
/ VBP X O
waking VBG X O
nights NNS X O
. . X O

Description NN X O
of IN X O
duties NNS X O
Main NNP X O
duties NNS X O
and CC X O
responsibilities NNS X O
: : X O
To TO X O
provide VB X O
technical JJ X B-Skill
support NN X I-Skill
to TO X I-Skill
staff NN X I-Skill
and CC X I-Skill
students NNS X I-Skill
within IN X O
Creative NNP X B-Domain
Technologies NNPS X I-Domain
area NN X I-Domain
. . X O

As IN X O
part NN X O
of IN X O
the DT X O
recruitment NN X O
process NN X O
, , X O
